text,created_at,event
Everyone's talking about climate change today! lowkey #social47,2024-01-01T03:53:22.894893,event_47
@user1611: 🔥 Tech news: Microsoft launches Model Y globally,2024-01-01T04:10:19.969920,event_35
Breaking: diabetes research breakthrough announced,2024-01-01T06:25:28.100497,event_45
@user1763: Apple stock surges after Vision Pro announcement #technology43,2024-01-01T06:55:55.230736,event_43
This economy story is breaking the internet #social31,2024-01-01T07:16:44.774058,event_31
@user243: Prayers for Florida after devastating tornado #disaster44,2024-01-01T07:38:14.141015,event_44
New album by Beyoncé is fire! 🔥 #latin,2024-01-01T07:59:34.271393,event_2
@user6116: MLB finals are insane this year! Go Chiefs! asap,2024-01-01T08:38:39.028873,event_8
DeSantis's stance on immigration sparks debate,2024-01-01T08:56:50.780468,event_1
@user8765: 👀 Just got my new iPhone 15 from SpaceX! Amazing!,2024-01-01T09:00:46.164671,event_11
tennis finals are insane this year! Go Barcelona!,2024-01-01T09:04:09.607800,event_16
SpaceX CEO reveals plans for PS5 #technology11,2024-01-01T09:45:50.306292,event_11
@user9927: Hot take: healthcare is overrated/underrated,2024-01-01T09:49:06.340128,event_39
@user5007: Relief efforts underway in Texas after tornado #disaster12,2024-01-01T10:47:01.202055,event_12
@user2511: NVIDIA CEO reveals plans for Vision Pro #technology11,2024-01-01T10:47:31.453551,event_11
Just got my new PS5 from Microsoft! Amazing! omg #technology27,2024-01-01T10:58:53.824677,event_27
@user3453: New treatment for heart disease shows promise #health5,2024-01-01T11:05:03.290542,event_5
Apple announces 1000 new jobs in New York #business38,2024-01-01T11:19:42.809798,event_38
Breaking: AOC announces new policy on foreign policy,2024-01-01T11:35:23.045548,event_1
Breaking: Ohtani scores winning goal for Liverpool #sports48,2024-01-01T11:39:55.024670,event_48
@user8402: Review: Google's Quest 3 is worth the hype #technology35,2024-01-01T12:05:13.568121,event_35
Breaking: Mbappé scores winning goal for Chiefs omg #sports8,2024-01-01T12:37:04.786804,event_8
Just watched Man United vs Giants. Best game ever!,2024-01-01T12:57:51.281958,event_0
Meta expands operations to California,2024-01-01T13:10:50.921945,event_38
Best performance by SZA at Grammy Awards!,2024-01-01T13:13:11.000764,event_34
Drake wins award at Super Bowl! So deserved!,2024-01-01T13:14:39.099197,event_34
@user6389: The new Model Y from Tesla is incredible #technology35,2024-01-01T13:39:59.213514,event_35
@user9427: POTUS addresses nation on climate change - what do you think? lol #politics1,2024-01-01T14:16:10.083292,event_1
Prayers for Mexico after devastating tornado #disaster12,2024-01-01T14:44:08.942745,event_12
